id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S2S1	00:01:47	N		T
S2S2	00:01:34	N		T
D2S1	00:00:55	N		T
D2S2	00:01:28	N		T
A2S1	00:01:40	Y		T
A2S2	00:00:12	Y		T
S1S1	00:00:09	N		T
S1S2	00:00:09	Y		T
D1S1	00:00:19	Y		T
D1S2	00:01:11	Y		T
A1S1	00:00:07	N		T
A1S2	00:00:08	Y		T
S3S1	00:00:07	Y		T
S3S2	00:00:07	N		T
D3S1	00:00:06	Y		T
D3S2	00:00:09	N		T
A3S1	00:00:05	N		T
A3S2	00:01:06	Y		T
S2L1	00:00:13	N		T
S2L2	00:00:09	Y		T
D2L1	00:00:31	Y		T
D2L2	00:01:14	N		T
A2L1	00:01:28	N		F
A2L2	00:01:22	Y		F
S1L1	00:01:19	Y		T
S1L2	00:00:26	N		T
D1L1	00:01:16	Y		T
D1L2	00:00:08	N		T
A1L1	00:00:08	N		T
A1L2	00:02:50	N		T
S3L1	00:01:21	N		T
S3L2	00:00:11	Y		T
D3L1	00:01:30	N		T
D3L2	00:01:43	N		T
A3L1	00:01:31	Y		T
A3L2	00:01:41	N		T
