id	hh:mm:ss	Y/N	Rating	Facit
I2		Y	5	
S1S1	00:00:27	N		T
S1S2	00:00:09	Y		T
D1S1	00:00:11	Y		T
D1S2	00:01:09	Y		T
A1S1	00:00:13	N		T
A1S2	00:00:10	Y		T
S3S1	00:00:08	Y		T
S3S2	00:00:10	N		T
D3S1	00:00:08	Y		T
D3S2	00:01:10	N		T
A3S1	00:00:10	N		T
A3S2	00:00:06	Y		T
S2S1	00:00:15	N		T
S2S2	00:00:09	N		T
D2S1	00:00:11	N		T
D2S2	00:01:22	N		T
A2S1	00:00:18	Y		T
A2S2	00:00:11	Y		T
S1L1	00:01:20	Y		T
S1L2	00:00:23	N		T
D1L1	00:00:20	Y		T
D1L2	00:00:09	N		T
A1L1	00:00:09	N		T
A1L2	00:01:59	N		T
S3L1	00:00:25	N		T
S3L2	00:01:10	Y		T
D3L1	00:00:10	N		T
D3L2	00:00:14	N		T
A3L1	00:00:40	Y		T
A3L2	00:01:18	N		T
S2L1	00:00:11	N		T
S2L2	00:00:10	Y		T
D2L1	00:00:29	Y		T
D2L2	00:01:17	N		T
A2L1	00:01:56	Y		T
A2L2	00:01:30	N		T
