id	hh:mm:ss	Y/N	Rating	Facit
I2		N	5	
S1S1	00:01:32	N		T
S1S2	00:00:18	Y		T
A1S1	00:00:27	N		T
A1S2	00:00:10	Y		T
D1S1	00:01:15	Y		T
D1S2	00:00:10	Y		T
S3S1	00:01:41	Y		T
S3S2	00:00:12	Y		F
A3S1	00:00:15	N		T
A3S2	00:00:10	Y		T
D3S1	00:00:12	Y		T
D3S2	00:01:19	N		T
S2S1	00:01:08	N		T
S2S2	00:01:58	N		T
A2S1	00:00:14	Y		T
A2S2	00:00:21	Y		T
D2S1	00:01:12	N		T
D2S2	00:00:23	N		T
S1L1	00:01:09	Y		T
S1L2	00:00:17	N		T
A1L1	00:01:26	N		T
A1L2	00:00:46	N		T
D1L1	00:00:47	Y		T
D1L2	00:01:20	N		T
S3L1	00:01:23	Y		F
S3L2	00:00:22	Y		T
A3L1	00:02:38	Y		T
A3L2	00:00:24	N		T
D3L1	00:01:20	N		T
D3L2	00:00:13	N		T
S2L1	00:00:27	N		T
S2L2	00:01:09	Y		T
A2L1	00:01:56	N		F
A2L2	00:00:45	Y		F
D2L1	00:02:24	Y		T
D2L2	00:00:45	N		T
