id	hh:mm:ss	Y/N	Rating	Facit
I2		N	3	
S2S1	00:02:54	Y		F
S2S2	00:01:12	N		T
D2S1	00:02:07	N		T
D2S2	00:00:23	N		T
A2S1	00:01:28	N		F
A2S2	00:00:26	Y		T
S3S1	00:01:34	Y		T
S3S2	00:00:13	N		T
D3S1	00:01:43	Y		T
D3S2	00:00:23	N		T
A3S1	00:01:20	N		T
A3S2	00:00:37	Y		T
S1S1	00:01:26	N		T
S1S2	00:00:16	Y		T
D1S1	00:00:22	Y		T
D1S2	00:01:06	Y		T
A1S1	00:01:46	N		T
A1S2	00:00:15	Y		T
S2L1	00:01:40	N		T
S2L2	00:00:15	Y		T
D2L1	00:02:20	Y		T
D2L2	00:00:44	N		T
A2L1	00:01:15	Y		T
A2L2	00:00:19	Y		F
S3L1	00:02:09	N		T
S3L2	00:00:11	Y		T
D3L1	00:01:02	N		T
D3L2	00:00:46	N		T
A3L1	00:00:18	N		F
A3L2	00:01:34	N		T
S1L1	00:02:28	Y		T
S1L2	00:01:47	N		T
D1L1	00:01:56	Y		T
D1L2	00:01:08	N		T
A1L1	00:00:22	N		T
A1L2	00:01:41	N		T
