id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S3S1	00:01:40	Y		T
S3S2	00:00:20	N		T
A3S1	00:01:58	N		T
A3S2	00:01:27	Y		T
D3S1	00:00:37	Y		T
D3S2	00:00:13	N		T
S2S1	00:04:18	N		T
S2S2	00:01:12	N		T
A2S1	00:00:28	Y		T
A2S2	00:01:25	Y		T
D2S1	00:00:24	N		T
D2S2	00:00:14	Y		F
S1S1	00:01:20	N		T
S1S2	00:00:20	Y		T
A1S1	00:01:10	N		T
A1S2	00:01:19	Y		T
D1S1	00:00:17	Y		T
D1S2	00:01:42	Y		T
S3L1	00:01:04	N		T
S3L2	00:00:14	Y		T
A3L1	00:01:18	N		F
A3L2	00:00:51	N		T
D3L1	00:01:01	N		T
D3L2	00:01:48	N		T
S2L1	00:01:58	N		T
S2L2	00:01:40	Y		T
A2L1	00:01:45	Y		T
A2L2	00:01:28	Y		F
D2L1	00:01:45	Y		T
D2L2	00:00:27	N		T
S1L1	00:01:49	Y		T
S1L2	00:01:13	N		T
A1L1	00:01:37	N		T
A1L2	00:01:16	Y		F
D1L1	00:01:43	Y		T
D1L2	00:01:35	N		T
