id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S1S1	00:01:02	N		T
S1S2	00:00:10	Y		T
A1S1	00:00:17	N		T
A1S2	00:00:18	Y		T
D1S1	00:01:28	Y		T
D1S2	00:00:07	Y		T
S2S1	00:00:24	Y		F
S2S2	00:01:42	N		T
A2S1	00:01:37	Y		T
A2S2	00:00:14	Y		T
D2S1	00:01:50	N		T
D2S2	00:00:08	Y		F
S3S1	00:00:11	Y		T
S3S2	00:00:11	N		T
A3S1	00:01:14	N		T
A3S2	00:00:13	Y		T
D3S1	00:00:11	Y		T
D3S2	00:00:11	N		T
S1L1	00:00:21	Y		T
S1L2	00:01:24	N		T
A1L1	00:00:11	N		T
A1L2	00:01:46	N		T
D1L1	00:00:39	Y		T
D1L2	00:01:15	N		T
S2L1	00:01:20	N		T
S2L2	00:00:30	Y		T
A2L1	00:01:40	Y		T
A2L2	00:00:17	Y		F
D2L1	00:01:30	Y		T
D2L2	00:00:23	N		T
S3L1	00:00:20	N		T
S3L2	00:00:10	Y		T
A3L1	00:00:38	Y		T
A3L2	00:01:21	N		T
D3L1	00:01:29	N		T
D3L2	00:00:18	N		T
