id	hh:mm:ss	Y/N	Rating	Facit
I2		N	5	
S2S1	00:01:53	N		T
S2S2	00:00:47	N		T
A2S1	00:01:25	Y		T
A2S2	00:00:23	Y		T
D2S1	00:01:18	N		T
D2S2	00:00:07	Y		F
S1S1	00:00:19	N		T
S1S2	00:00:07	Y		T
A1S1	00:00:14	N		T
A1S2	00:01:10	Y		T
D1S1	00:00:09	N		F
D1S2	00:00:05	Y		T
S3S1	00:00:15	Y		T
S3S2	00:00:07	N		T
A3S1	00:00:10	N		T
A3S2	00:00:07	Y		T
D3S1	00:00:05	N		F
D3S2	00:01:10	N		T
S2L1	00:00:19	N		T
S2L2	00:00:18	Y		T
A2L1	00:01:11	Y		T
A2L2	00:00:21	Y		F
D2L1	00:01:57	Y		T
D2L2	00:00:16	N		T
S1L1	00:01:53	Y		T
S1L2	00:00:27	N		T
A1L1	00:01:50	N		T
A1L2	00:01:43	N		T
D1L1	00:01:23	Y		T
D1L2	00:00:16	N		T
S3L1	00:00:21	N		T
S3L2	00:01:10	Y		T
A3L1	00:00:10	N		F
A3L2	00:01:36	N		T
D3L1	00:00:40	N		T
D3L2	00:01:24	N		T
