id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S3S1	00:00:20	Y		T
S3S2	00:01:12	N		T
D3S1	00:00:18	Y		T
D3S2	00:00:11	N		T
A3S1	00:00:14	N		T
A3S2	00:00:08	Y		T
S1S1	00:01:13	N		T
S1S2	00:00:12	Y		T
D1S1	00:00:22	Y		T
D1S2	00:00:06	Y		T
A1S1	00:00:11	N		T
A1S2	00:01:10	Y		T
S2S1	00:00:43	N		T
S2S2	00:01:47	N		T
D2S1	00:01:11	N		T
D2S2	00:01:48	N		T
A2S1	00:01:22	Y		T
A2S2	00:00:16	Y		T
S3L1	00:00:19	N		T
S3L2	00:00:20	Y		T
D3L1	00:00:27	N		T
D3L2	00:01:46	N		T
A3L1	00:01:09	Y		T
A3L2	00:01:33	N		T
S1L1	00:00:17	Y		T
S1L2	00:01:39	N		T
D1L1	00:00:39	Y		T
D1L2	00:00:12	N		T
A1L1	00:01:21	N		T
A1L2	00:00:45	N		T
S2L1	00:01:12	N		T
S2L2	00:00:18	Y		T
D2L1	00:01:46	Y		T
D2L2	00:00:15	N		T
A2L1	00:00:49	Y		T
A2L2	00:01:54	N		T
