id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S3S1	00:01:19	Y		T
S3S2	00:00:15	N		T
D3S1	00:00:21	Y		T
D3S2	00:01:13	N		T
A3S1	00:00:22	N		T
A3S2	00:00:16	Y		T
S2S1	00:01:32	N		T
S2S2	00:00:36	N		T
D2S1	00:01:27	N		T
D2S2	00:00:19	Y		F
A2S1	00:01:31	Y		T
A2S2	00:00:13	Y		T
S1S1	00:00:15	N		T
S1S2	00:00:08	Y		T
D1S1	00:01:19	Y		T
D1S2	00:00:09	Y		T
A1S1	00:00:14	N		T
A1S2	00:00:13	Y		T
S3L1	00:02:34	N		T
S3L2	00:01:59	N		F
D3L1	00:01:42	N		T
D3L2	00:00:33	N		T
A3L1	00:02:35	Y		T
A3L2	00:01:10	N		T
S2L1	00:01:04	N		T
S2L2	00:01:37	Y		T
D2L1	00:01:32	Y		T
D2L2	00:00:22	N		T
A2L1	00:03:01	Y		T
A2L2	00:01:22	Y		F
S1L1	00:00:33	Y		T
S1L2	00:02:19	N		T
D1L1	00:00:22	Y		T
D1L2	00:01:31	N		T
A1L1	00:01:52	N		T
A1L2	00:01:21	N		T
