id	hh:mm:ss	Y/N	Rating	Facit
I2		N	5	
S2S1	00:02:53	N		T
S2S2	00:00:34	N		T
D2S1	00:01:33	N		T
D2S2	00:00:17	Y		F
A2S1	00:00:12	Y		T
A2S2	00:00:20	Y		T
S1S1	00:01:18	N		T
S1S2	00:00:11	Y		T
D1S1	00:00:12	Y		T
D1S2	00:00:13	Y		T
A1S1	00:01:18	N		T
A1S2	00:00:14	Y		T
S3S1	00:00:14	Y		T
S3S2	00:00:16	N		T
D3S1	00:01:16	Y		T
D3S2	00:00:10	N		T
A3S1	00:00:11	N		T
A3S2	00:00:09	Y		T
S2L1	00:00:17	N		T
S2L2	00:01:15	Y		T
D2L1	00:01:06	Y		T
D2L2	00:01:25	N		T
A2L1	00:01:06	Y		T
A2L2	00:01:22	Y		F
S1L1	00:00:22	Y		T
S1L2	00:01:09	Y		F
D1L1	00:01:16	Y		T
D1L2	00:00:13	N		T
A1L1	00:00:16	N		T
A1L2	00:01:43	N		T
S3L1	00:00:19	N		T
S3L2	00:00:14	Y		T
D3L1	00:01:18	N		T
D3L2	00:00:19	N		T
A3L1	00:00:42	N		F
A3L2	00:01:21	N		T
