id	hh:mm:ss	Y/N	Rating	Facit
I2		N	3	
S1S1	00:01:21	N		T
S1S2	00:00:10	Y		T
D1S1	00:00:16	Y		T
D1S2	00:00:10	Y		T
A1S1	00:01:17	N		T
A1S2	00:00:14	Y		T
S2S1	00:01:52	N		T
S2S2	00:00:28	N		T
D2S1	00:00:20	N		T
D2S2	00:01:18	N		T
A2S1	00:00:10	N		F
A2S2	00:00:07	Y		T
S3S1	00:00:07	Y		T
S3S2	00:00:09	N		T
D3S1	00:00:07	Y		T
D3S2	00:01:09	N		T
A3S1	00:00:16	N		T
A3S2	00:00:21	Y		T
S1L1	00:01:30	Y		T
S1L2	00:00:22	N		T
D1L1	00:01:28	Y		T
D1L2	00:00:07	N		T
A1L1	00:00:17	N		T
A1L2	00:01:47	N		T
S2L1	00:01:32	N		T
S2L2	00:00:11	Y		T
D2L1	00:01:29	Y		T
D2L2	00:00:14	N		T
A2L1	00:01:05	Y		T
A2L2	00:01:48	Y		F
S3L1	00:00:22	N		T
S3L2	00:01:07	Y		T
D3L1	00:01:32	N		T
D3L2	00:00:16	N		T
A3L1	00:01:07	Y		T
A3L2	00:01:27	N		T
