id	hh:mm:ss	Y/N	Rating	Facit
I2		N	2	
S1S1	00:00:21	N		T
S1S2	00:00:08	Y		T
D1S1	00:00:13	Y		T
D1S2	00:00:07	Y		T
A1S1	00:01:17	N		T
A1S2	00:00:15	Y		T
S3S1	00:00:10	Y		T
S3S2	00:00:11	N		T
D3S1	00:00:09	Y		T
D3S2	00:01:11	N		T
A3S1	00:00:10	N		T
A3S2	00:00:10	Y		T
S2S1	00:01:46	N		T
S2S2	00:00:17	N		T
D2S1	00:01:16	N		T
D2S2	00:01:44	Y		F
A2S1	00:00:17	Y		T
A2S2	00:00:09	Y		T
S1L1	00:01:21	Y		T
S1L2	00:00:22	N		T
D1L1	00:00:16	Y		T
D1L2	00:00:09	N		T
A1L1	00:00:12	N		T
A1L2	00:01:41	N		T
S3L1	00:00:25	N		T
S3L2	00:01:14	N		F
D3L1	00:00:09	N		T
D3L2	00:00:22	N		T
A3L1	00:00:41	Y		T
A3L2	00:01:20	N		T
S2L1	00:01:36	N		T
S2L2	00:00:12	Y		T
D2L1	00:01:30	Y		T
D2L2	00:00:13	N		T
A2L1	00:00:18	Y		T
A2L2	00:00:17	Y		F
